        Bahrain,ASMISMBH Index
        China,ASMISMCN Index
        Hong Kong,ASMISMHK Index
        India,ASMISMIN Index
        Indonesia,ASMISMID Index
        Israel,ASMISMIL Index
        Japan,ASMISMJP Index
        Korea,ASMISMKR Index
        Malaysia,ASMISMMY Index
        Oman,ASMISMOM Index
        Pakistan,ASMISMPK Index
        Philippines,ASMISMPH Index
        Saudi Arabia,ASMISMSA Index
        Singapore,ASMISMSG Index
        Taiwan,ASMISMTW Index
        Thailand,ASMISMTH Index
        Turkey,ASMISMTR Index
        United Arab Emirates,ASMISMAE Index
        Vietnam,ASMISMVN Index
