N.A.  U.S. Parts & Tire Store Sales ,RSBAAPTS Index
N.A. U.S. Personal Expenditures Parts,RPCEDMVP Index
N.A. U.S. Personal Expenditures Repair Services for Vehicle ,RPCEDVMR Index
        U.S. CPI  for Tires,CPWXTIAN Index
      U.S.  Vehicle Accessories Other Than Tires,CPWXVEAN Index
        U.S. PPI Vehicle Parts,PPIJMOVP Index
        U.S. PPI Automotive Parts & Accessories & Tire Stores,PPIDAUPA Index
        U.S. PPI Gasoline Engine & Parts Mfg,PPIDMGSE Index
        U.S. PPI Brake System Manufacturing,PPIDMVBS Index
        U.S. PPI Metal Stamping,PPIDMVMS Index
        U.S. PPI Powertrain Components Mfg,PPIDMVPT Index
        U.S. PPI Seating & Interior Trim Mfg,PPIDMVSA Index
        U.S. PPI Electrical & Electronic Equipment,PPIDMVEA Index
      N.A.  Replacement Battery Shipments (units),BATYREPL Index
       N.A. Original Equipment Battery Shipments ( units),BATYOEM Index
