National Home PX Seasonally,SPCSUSS Index
National Home PX Not Seasonally,SPCSUSA Index
Const Spend Multi,CNSTPRMF Index
New Home Median PX Midwest,NHSLMDMW Index
New Home Median PX NW,NHSLMDNE Index
New Home Median PX South,NHSLMDSO Index
Const Spend Single Family,CNSTPRSF Index
New Home AVG PX Midwest,NHSLAVMW Index
New Home AVG PX South,NHSLAVSO Index
New Home AVG PX West,NHSLAVWE Index
New Home Median PX West,NHSLMDWE Index
New Home AVG PX,NHSLAVPL Index
New Home Median PX,NHSLAVSL Index
Const Spend Repair | Remodel,CNSTPRHI Index
Const Spend Residential,CNSTPRRE Index
Mortgage Purchase AppS,MBAVPRCH Index
30 Yr Mortgage Rate,MB30ER Index
Builder App Survey,MBAMSRVY Index
Building Permits NSA Single Family,HSPNSNUT Index
Building Permits NSA Total,HSPNTOT Index
Building Permits SAAR  Single Family,NHSPA1 Index
Building Permits SAAR MultI,NHSPAM Index
Building Permits SAAR Total,NHSPATOT Index
Buyer Traffic  Midwest,USHBMWMK Index
Buyer Traffic South,USHBSOMK Index
Buyer Traffic West,USHBWEMK Index
Const Spend,CNSTPRRE Index
Existing Home Avg PX,ETSLAP Index
Existing Home Inventory SA,ETSLHAFS Index
Existing Home Median PX,ETSLMP Index
Home Sales NSA Existing,ETSLSLNS Index
Home Sales NSA New,HSMNTOT Index
Home Sales SAAR Existing,ETSLTOTL Index
Home Sales SAAR New,NHSLTOT Index
Homebuilder Mthly Sales Absorptions,MYERNHAB Index
Housing MKT Buyer Traffic,USHBTRAF Index
Housing MKT Future Sales,USHBFUTS Index
Housing MKT Index,USHBMIDX Index
Housing MKT Present Sales,USHBPRSS Index
Housing Opt  Index,HOIXHOI% Index
Housing Pay % Inc,.HSNGPMT G Index
Housing Starts NSA Single Family,THUNSNUT Index
Housing Starts NSA Total,PHSNTOT Index
Housing Starts SAAR Multi,NHSPSM Index
Housing Starts SAAR Single family,NHSPS1 Index
Housing Starts SAAR Total,NHSPSTOT Index
New Home AVG PX NW,NHSLAVNE Index
New Home Inventory NSA,NHSLFST Index
New Home Inventory SA,NHSLNFS Index
Pending Home Sales NSA,USPHNSA Index
Pending Home Sales SA,USPHTOTL Index
