        Austria,ASMISMAT Index
        Belarus,ASMISMBY Index
        Belgium,ASMISMBE Index
        Bulgaria,ASMISMBG Index
        Croatia,ASMISMHR Index
        Czech Republic,ASMISMCZ Index
        Denmark,ASMISMDK Index
        Finland,ASMISMFI Index
        France,ASMISMFR Index
        Germany,ASMISMDE Index
        Greece,ASMISMGR Index
        Hungary,ASMISMHU Index
        Ireland,ASMISMIE Index
        Italy,ASMISMIT Index
        Liechtenstein,ASMISMFL Index
        Lithuania,ASMISMLT Index
        Luxembourg,ASMISMLU Index
        Macedonia,ASMISMMK Index
        Netherlands,ASMISMNL Index
        Norway,ASMISMNO Index
        Poland,ASMISMPL Index
        Portugal,ASMISMPT Index
        Romania,ASMISMRO Index
        Russia,ASMISMRU Index
        Serbia,ASMISMRS Index
        Slovakia,ASMISMSK Index
        Slovenia,ASMISMSI Index
        Spain,ASMISMES Index
        Sweden,ASMISMSE Index
        Switzerland,ASMISMCH Index
        Ukraine,ASMISMUA Index
        United Kingdom,ASMISMGB Index
