Canada Monthly Steel Shipment (000's tons),I|SPCSPS Index
Canada Shipments YTD (000's tons),I|SPCSPY Index
Canada Steel Shipments (tons/day),I|SPCSTD Index
Canda Service Center Inv,I|SPCSPI Index
U.S Monthly Steel Shipment (000's tons),ALOYI|SM Index
U.S Raw Steel Prod,RSPR Index
U.S Steel Shipments,.ISTLUSX G Index
U.S Steel Shipments (tons per day),ALOYI|ST Index
"U.S. Blooms/Billets | Slabs Carbon | Alloy""",CAPDBBSL Index
"U.S. Blooms/Billets | Slabs Stainless Steel""",CAPDBLMS Index
U.S. Net Steel Imports,.USNETIM G Index
U.S. Service Center Inv,ALOYI|SI Index
U.S. Shipments YTD (000's tons),ALOYI|SY Index
U.S. Steel Capacity Util,RSCURATE Index
US All Steel Mill Products,USSIASMP Index
US NA Hot Rolled Coil Steel Spot,STANFPHR EXW KLSH Index
